block_number, magic_number, block_size, version, previous_block_hash, merkle_root, time, bits, nonce
blk00033.dat,D9B4BEF9,0003EACA,00000001,0000000000000212A9E161287F1A52C3AF06C96C27068AF7E82C566083555024,C9D14D2D1F7411EDA405A7199440AB5FABB90DED660A104449593F7A2080CB15,50D11399,1A04FA62,C1EC10A2
blk00027.dat,D9B4BEF9,0000BFCF,00000001,000000000000029FA18128B0FC1F8EE96FC3BE523C3F8D15C0B3F5D4D7B11A79,85CC89ECCBEFA3591914CCFADE23A27698FE9470AF8578E21ED2852D21B974AB,5088CDB4,1A0575EF,3F342E01
blk00017.dat,D9B4BEF9,00012140,00000001,0000000000000191DB8FAB213772AA9DDED00C26B0AF288A9F7F74A903663239,7A17FC60A21D32EDCBE9166CC689322FDF81DA7BA721D2AB0CA1FC96399B8141,500F162F,1A08FD2E,74BA0BC7
blk00010.dat,D9B4BEF9,0000C732,00000001,000000000000014164EE3A58AE6F6DB6C8E088659C5863C9DEF052485531C2FC,D2223FD23AD1B0E983F4CB9C6AA6D76AE7D8BCDD9005B39369D5CEEDC254761F,4FB0772E,1A09AE02,E5D5B582
blk00012.dat,D9B4BEF9,0003D17B,00000001,000000000000033A9192D519592B5341FE96FEAD07C467BC930F4B229F158B39,8CA5E1116780A54355FEEA7DA643DE6D1420622A8F30DDA8B4522697298F050D,4FCDCB5D,1A0A8B5F,19AE6B0F
blk00039.dat,D9B4BEF9,0006FC7C,00000001,000000000000024261A0463D2BD52F8A395A2CF28F8B34E56E0488A67B505BCC,81517A808613373251FDB8C146D83E6EFBC0BBE7C2868F4A8AFD391469BEA198,5106D35D,1A05A6B1,D034E18D
blk00045.dat,D9B4BEF9,0003CC51,00000002,00000000000002456EE1EBD384DC2FC7D9820E531C3C15E329F047669B01FC67,4310AAA10C648CF613BD03E840C3269C147912C896C81112B225CE8FA8BF1502,51300192,1A04985C,E225434E
blk00035.dat,D9B4BEF9,0003D016,00000001,00000000000002B5B755142C9FE6B39BC720ADB2DC0E50E98D2F9A03A03307ED,61CB01264E3D799526A8653FB2BBCDE475734D467C0564480945A731F499F215,50E4F7B9,1A05A16B,F4BC95DD
blk00022.dat,D9B4BEF9,00013193,00000001,00000000000000B40E4B7631503F83F7F54F796EADDF2F0EF124B0ACBB36A976,1E32AD379C40A9273E4588EE910E119F3D7C5D72356B07D18EEAEB0835A5DEA3,504A1F0D,1A063A38,4E87768C
blk00032.dat,D9B4BEF9,0000C8D0,00000001,00000000000002C6FD762E3CA2EAE93CB482376C502C3CF0B7191A120B24BFF3,E656244B4C31B89BBC1FB504834D398AA10878B11590046F27589EFDC1091CA8,50C7338F,1A04FA62,13EE2EED
